occupation,daily_income,work_days_per_month,monthly_transactions,savings_ratio,income_min,income_max,digital_payment_ratio,loan_history,financial_stability
driver,933.0,20,37,0.1876,751.36,1114.64,0.391,1,moderate
shopkeeper,915.15,26,76,0.2656,700.0,1135.99,0.348,1,moderate
delivery_worker,649.8,28,41,0.1288,600.0,756.63,0.929,0,moderate
laborer,665.08,29,7,0.0645,528.4,700.0,0.074,0,moderate
street_vendor,595.09,22,12,0.0974,464.1,726.08,0.268,0,unstable
street_vendor,733.55,24,20,0.0275,573.38,893.71,0.237,0,unstable
street_vendor,542.85,24,7,0.1077,431.17,654.53,0.106,1,unstable
shopkeeper,1267.12,24,29,0.1823,973.58,1560.66,0.529,1,moderate
laborer,666.43,10,10,0.0,476.81,700.0,0.186,1,unstable
delivery_worker,1263.38,24,31,0.1778,949.89,1576.86,0.938,0,stable
street_vendor,629.93,13,14,0.0556,537.13,722.73,0.108,0,unstable
shopkeeper,1699.37,27,38,0.2359,1508.38,1890.36,0.268,1,stable
shopkeeper,1784.41,25,43,0.1815,1563.87,2000.0,0.461,1,stable
street_vendor,514.35,26,8,0.1192,403.5,625.21,0.145,1,unstable
street_vendor,456.76,30,22,0.1231,401.99,511.52,0.187,0,moderate
street_vendor,730.44,18,20,0.0689,616.21,844.67,0.067,0,unstable
driver,1504.08,17,32,0.2153,1170.07,1600.0,0.58,0,moderate
laborer,249.79,17,9,0.0657,224.01,275.57,0.129,1,unstable
laborer,541.56,14,10,0.1085,386.39,696.72,0.093,0,unstable
driver,1213.55,23,22,0.1723,873.94,1553.16,0.455,1,moderate
laborer,654.41,14,14,0.0729,489.45,700.0,0.105,1,unstable
street_vendor,631.64,21,16,0.0,563.38,699.89,0.094,0,unstable
driver,730.01,23,24,0.2675,637.97,822.04,0.311,1,moderate
driver,990.41,16,36,0.1556,729.6,1251.21,0.494,0,moderate
laborer,266.85,14,15,0.0455,200.0,343.45,0.08,0,unstable
delivery_worker,1518.38,25,45,0.1387,1084.3,1800.0,0.832,1,moderate
street_vendor,471.06,29,22,0.0769,397.31,544.8,0.291,0,moderate
laborer,634.77,21,14,0.0189,548.36,700.0,0.091,0,unstable
laborer,422.29,18,2,0.0318,317.36,527.21,0.092,1,unstable
street_vendor,608.32,19,19,0.0252,439.89,776.74,0.249,0,unstable
laborer,550.55,18,10,0.0928,450.27,650.83,0.027,0,unstable
street_vendor,885.32,29,22,0.0802,722.29,900.0,0.265,0,moderate
street_vendor,758.46,17,4,0.0994,551.5,900.0,0.259,1,moderate
shopkeeper,1821.85,25,51,0.1602,1464.56,2000.0,0.459,0,stable
shopkeeper,965.19,24,51,0.221,709.13,1221.25,0.395,1,moderate
delivery_worker,1629.43,26,37,0.1628,1367.12,1800.0,0.634,0,stable
driver,1018.79,20,22,0.1377,870.56,1167.02,0.794,0,moderate
street_vendor,325.41,25,27,0.0629,234.88,415.95,0.345,1,unstable
delivery_worker,716.03,22,34,0.1465,600.0,890.81,0.71,0,moderate
laborer,414.18,21,11,0.0605,370.51,457.84,0.098,0,unstable
street_vendor,533.89,28,10,0.0,438.94,628.84,0.134,0,unstable
laborer,271.41,22,6,0.0112,212.79,330.02,0.093,0,unstable
street_vendor,238.48,25,3,0.0372,200.0,289.92,0.076,0,unstable
shopkeeper,1956.53,23,59,0.0713,1391.2,2000.0,0.705,1,stable
driver,1391.75,22,34,0.28,988.6,1600.0,0.667,0,stable
delivery_worker,945.01,23,16,0.2391,748.79,1141.24,0.576,0,moderate
driver,1438.65,17,34,0.2808,1151.4,1600.0,0.558,0,moderate
laborer,505.67,22,7,0.0702,417.59,593.76,0.089,0,unstable
laborer,415.9,27,9,0.0,309.28,522.52,0.166,1,unstable
street_vendor,357.07,27,18,0.1898,285.33,428.8,0.184,0,moderate
shopkeeper,1442.56,26,36,0.2387,1049.19,1835.93,0.609,1,stable
delivery_worker,710.94,28,49,0.1599,600.0,847.14,0.61,0,moderate
shopkeeper,1945.58,27,46,0.2152,1654.66,2000.0,0.41,1,stable
shopkeeper,1594.1,26,48,0.1781,1347.5,1840.7,0.427,1,stable
laborer,445.51,17,6,0.0473,372.38,518.64,0.1,0,unstable
shopkeeper,1978.34,26,63,0.2978,1684.91,2000.0,0.554,1,stable
street_vendor,673.81,30,21,0.1054,597.79,749.83,0.059,0,moderate
street_vendor,522.23,22,24,0.0036,447.28,597.18,0.213,1,unstable
street_vendor,402.81,22,11,0.0313,343.29,462.32,0.16,0,unstable
driver,1574.1,24,24,0.2012,1116.14,1600.0,0.334,1,stable
driver,793.47,23,33,0.1213,633.84,953.11,0.644,1,moderate
driver,567.0,25,29,0.1425,500.0,703.25,0.465,0,moderate
shopkeeper,1696.12,24,60,0.356,1423.35,1968.89,0.596,0,stable
driver,747.68,20,36,0.164,573.87,921.48,0.378,0,moderate
driver,1125.1,15,27,0.2159,950.78,1299.41,0.585,0,moderate
laborer,459.37,20,9,0.0,408.74,510.01,0.076,1,unstable
street_vendor,552.89,23,9,0.1002,461.91,643.88,0.082,0,unstable
delivery_worker,1569.55,27,43,0.1223,1171.59,1800.0,0.875,0,stable
street_vendor,652.49,21,18,0.0464,527.42,777.55,0.181,1,unstable
shopkeeper,1409.06,26,61,0.2717,1230.55,1587.56,0.332,1,stable
delivery_worker,774.62,17,60,0.2007,600.0,987.97,0.891,0,moderate
street_vendor,638.24,20,14,0.0598,564.81,711.67,0.128,0,unstable
street_vendor,860.09,26,22,0.0962,669.08,900.0,0.133,0,moderate
delivery_worker,1009.15,23,30,0.1125,706.88,1311.43,0.919,1,moderate
delivery_worker,1436.03,26,50,0.1185,1084.11,1787.95,0.793,0,stable
delivery_worker,1694.18,26,38,0.1531,1375.97,1800.0,0.872,0,stable
delivery_worker,1151.21,21,15,0.194,1023.4,1279.02,0.64,0,moderate
